Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
93,tt9577852,2024-06-16,2024-06-16,,"Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese","Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese",https://www.imdb.com/title/tt9577852/,Movie,7.6,142,2019,"Documentary, Biography, History, Music",7776,2019-06-12,"Martin Scorsese",,
94,tt0047478,2024-06-16,2024-06-16,,"Yedi Samuray: Kanlı Pirinç","Shichinin no samurai",https://www.imdb.com/title/tt0047478/,Movie,8.6,207,1954,"Action, Drama",368475,1954-04-26,"Akira Kurosawa",,
95,tt15474916,2024-06-16,2024-06-16,,"Gülümse","Smile",https://www.imdb.com/title/tt15474916/,Movie,6.5,115,2022,"Horror, Mystery, Thriller",165727,2022-09-30,"Parker Finn",,
96,tt0208092,2024-06-16,2024-06-16,,"Kapışma","Snatch",https://www.imdb.com/title/tt0208092/,Movie,8.2,104,2000,"Comedy, Crime",914756,2000-11-10,"Guy Ritchie",,
97,tt0045152,2024-06-16,2024-06-16,,"Yağmur Altında","Singin' in the Rain",https://www.imdb.com/title/tt0045152/,Movie,8.3,103,1952,"Comedy, Musical, Romance",261947,1952-04-11,"Stanley Donen, Gene Kelly",,
98,tt0053291,2024-06-16,2024-06-16,,"Bazıları Sıcak Sever","Some Like It Hot",https://www.imdb.com/title/tt0053291/,Movie,8.2,121,1959,"Comedy, Music, Romance",284752,1959-12-30,"Billy Wilder",,
99,tt14253846,2024-06-16,2024-06-16,,"Speak No Evil","Speak No Evil",https://www.imdb.com/title/tt14253846/,Movie,6.6,97,2022,"Drama, Horror, Thriller",40462,2022-03-17,"Christian Tafdrup",,
100,tt0043014,2024-06-16,2024-06-16,,"Sunset Bulvarı","Sunset Blvd.",https://www.imdb.com/title/tt0043014/,Movie,8.4,110,1950,"Drama, Film-Noir",237559,1950-08-04,"Billy Wilder",,
101,tt5897636,2024-06-16,2024-06-16,,"'93 Yazı","Estiu 1993",https://www.imdb.com/title/tt5897636/,Movie,7.1,97,2017,"Drama, Family",8516,2017-06-23,"Carla Simón",,
102,tt0088247,2024-06-16,2024-06-16,,"Terminatör: Yok Edici","The Terminator",https://www.imdb.com/title/tt0088247/,Movie,8.1,107,1984,"Action, Adventure, Sci-Fi",929060,1984-10-26,"James Cameron",,
103,tt0103064,2024-06-16,2024-06-16,,"Terminatör 2: Mahşer Günü","Terminator 2: Judgment Day",https://www.imdb.com/title/tt0103064/,Movie,8.6,137,1991,"Action, Adventure, Sci-Fi",1180101,1991-10-25,"James Cameron",,
104,tt0181852,2024-06-16,2024-06-16,,"Terminatör 3: Makinelerin Yükselişi","Terminator 3: Rise of the Machines",https://www.imdb.com/title/tt0181852/,Movie,6.3,109,2003,"Action, Sci-Fi",419719,2003-07-25,"Jonathan Mostow",,
